"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"qvalue";"log10P"
"LUZP1";756;0,234;0,342;0,684;0,494;0,966;1;0,306
"ZBTB20-AS3";0,298;-2,42;3,54;-0,683;0,494;NA;1;0,306
"PAPLN";492;-0,221;0,323;-0,683;0,494;0,966;1;0,306
"TMEM92";133;-0,45;0,659;-0,683;0,494;0,966;1;0,306
"ADGRE5";1310;-0,217;0,318;-0,683;0,494;0,966;1;0,306
"ROCK2";1280;0,287;0,42;0,683;0,494;0,966;1;0,306
"AL645941.2";1,94;1,39;2,04;0,683;0,494;NA;1;0,306
"AGRP";3,65;0,586;0,858;0,683;0,494;0,966;1;0,306
"AC009312.1";0,608;-2,11;3,09;-0,683;0,494;NA;1;0,306
"ENPP1";181;0,246;0,36;0,683;0,494;0,966;1;0,306
"DHCR24-DT";0,594;1,86;2,72;0,683;0,494;NA;1;0,306
"FHOD3";359;0,229;0,335;0,683;0,494;0,966;1;0,306
"SARS2";377;0,151;0,221;0,683;0,494;0,966;1;0,306
"DANCR";1690;-0,202;0,296;-0,683;0,495;0,966;1;0,306
"REC8";353;0,244;0,358;0,683;0,495;0,966;1;0,306
"AL163952.1";1,04;1,32;1,93;0,683;0,495;NA;1;0,306
"ING2";293;0,216;0,316;0,683;0,495;0,966;1;0,306
"LINC02438";0,659;-1,43;2,09;-0,683;0,495;NA;1;0,306
"LURAP1L-AS1";0,87;-1,71;2,51;-0,683;0,495;NA;1;0,306
"TRAJ48";0,308;-2,41;3,54;-0,683;0,495;NA;1;0,306
"AC087286.3";0,458;2,43;3,56;0,683;0,495;NA;1;0,305
"AL022311.1";235;-0,265;0,388;-0,683;0,495;0,966;1;0,305
"AL049829.2";0,371;-2,42;3,54;-0,683;0,495;NA;1;0,305
"ERMARD";508;0,149;0,219;0,682;0,495;0,966;1;0,305
"AL161716.1";0,297;-2,41;3,54;-0,682;0,495;NA;1;0,305
"LINC02356";2,82;-0,677;0,993;-0,682;0,495;0,966;1;0,305
"SMIM36";2,13;-0,889;1,3;-0,682;0,495;NA;1;0,305
"DOCK4";297;0,229;0,336;0,682;0,495;0,966;1;0,305
"LINC01615";4,52;-0,537;0,788;-0,682;0,495;0,966;1;0,305
"SPG11";1380;0,199;0,292;0,682;0,495;0,966;1;0,305
"LINC01429";3,31;-0,669;0,981;-0,682;0,495;0,966;1;0,305
"PPP1R14D";3,7;0,789;1,16;0,682;0,495;0,966;1;0,305
"CDH15";20,5;-0,485;0,711;-0,682;0,495;0,966;1;0,305
"AC147067.1";20,8;-0,382;0,56;-0,682;0,495;0,966;1;0,305
"SNX24";332;0,166;0,243;0,682;0,495;0,966;1;0,305
"AL442003.1";67;0,33;0,484;0,682;0,495;0,966;1;0,305
"DPRX";0,307;-2,41;3,54;-0,682;0,495;NA;1;0,305
"AC099344.3";4,51;0,814;1,19;0,682;0,495;0,966;1;0,305
"ORC3";416;0,242;0,355;0,682;0,495;0,966;1;0,305
"ZNF628";155;0,3;0,441;0,682;0,495;0,966;1;0,305
"TBL3";934;-0,199;0,292;-0,682;0,495;0,966;1;0,305
"AC147651.2";0,866;-1,51;2,22;-0,682;0,496;NA;1;0,305
"AC024580.1";21,2;0,424;0,622;0,682;0,496;0,966;1;0,305
"AC011497.1";0,635;-2,04;3;-0,682;0,496;NA;1;0,305
"CREB3L4";3190;0,242;0,356;0,682;0,496;0,966;1;0,305
"AC024589.2";0,307;-2,41;3,54;-0,682;0,496;NA;1;0,305
"AC010273.2";4,59;0,626;0,918;0,681;0,496;0,966;1;0,305
"ADGRF1";195;-0,377;0,553;-0,681;0,496;0,966;1;0,305
"AC099778.1";57,2;-0,202;0,296;-0,681;0,496;0,966;1;0,305
"LINC00682";1,99;-1,25;1,83;-0,681;0,496;NA;1;0,305
"GSR";2020;0,194;0,285;0,681;0,496;0,966;1;0,305
"IGKV2OR22-4";44,5;-0,822;1,21;-0,681;0,496;0,966;1;0,305
"AC026367.3";9,88;0,42;0,616;0,681;0,496;0,966;1;0,305
"NDUFS5";3930;-0,317;0,465;-0,681;0,496;0,966;1;0,305
"AL157932.1";1,08;-1,08;1,59;-0,681;0,496;NA;1;0,305
"TVP23C";186;0,169;0,248;0,681;0,496;0,966;1;0,305
"CYP4F12";230;0,184;0,271;0,681;0,496;0,966;1;0,305
"RN7SL387P";0,293;-2,41;3,54;-0,681;0,496;NA;1;0,305
"RN7SL452P";1,6;-0,933;1,37;-0,681;0,496;NA;1;0,305
"ZNF692";1020;0,162;0,238;0,681;0,496;0,966;1;0,305
"RNY3P11";0,307;-2,41;3,54;-0,681;0,496;NA;1;0,305
"AC009139.2";18,4;-0,376;0,552;-0,681;0,496;0,966;1;0,305
"PRB2";2,6;0,972;1,43;0,681;0,496;NA;1;0,305
"AC018892.3";17,7;0,275;0,403;0,681;0,496;0,966;1;0,305
"NARF";1290;-0,172;0,253;-0,681;0,496;0,966;1;0,305
"LRRC32";396;-0,257;0,378;-0,681;0,496;0,966;1;0,305
"BORCS5";249;-0,225;0,331;-0,681;0,496;0,966;1;0,305
"DDI2";1360;0,203;0,299;0,681;0,496;0,966;1;0,304
"AC026356.1";6,83;-0,453;0,666;-0,681;0,496;0,966;1;0,304
"YY1";2490;-0,12;0,176;-0,681;0,496;0,966;1;0,304
"AC100832.2";0,307;-2,41;3,54;-0,681;0,496;NA;1;0,304
"AC104964.1";2,87;0,781;1,15;0,681;0,496;0,966;1;0,304
"OMG";11,7;-0,402;0,591;-0,681;0,496;0,966;1;0,304
"AL049840.5";12,1;0,464;0,681;0,681;0,496;0,966;1;0,304
"ATP6V0A2";875;0,181;0,265;0,681;0,496;0,966;1;0,304
"AC011995.1";0,296;-2,41;3,54;-0,681;0,496;NA;1;0,304
"APOF";26,6;0,433;0,637;0,681;0,496;0,966;1;0,304
"MSRB2";566;-0,237;0,349;-0,68;0,496;0,966;1;0,304
"NKAIN3-IT1";49,4;-0,29;0,426;-0,68;0,496;0,966;1;0,304
"CD101";54,1;-0,301;0,443;-0,68;0,496;0,966;1;0,304
"SRRD";482;-0,167;0,246;-0,68;0,496;0,966;1;0,304
"NECTIN3-AS1";6,21;0,593;0,872;0,68;0,496;0,966;1;0,304
"AL391262.1";0,789;-1,72;2,53;-0,68;0,496;NA;1;0,304
"AL356753.1";1,36;1,04;1,53;0,68;0,496;NA;1;0,304
"OVOL1-AS1";0,689;1,45;2,13;0,68;0,496;NA;1;0,304
"PPT2-EGFL8";119;-0,293;0,431;-0,68;0,496;0,966;1;0,304
"GMNC";0,985;-1,53;2,25;-0,68;0,496;NA;1;0,304
"LRIG2";658;0,239;0,352;0,68;0,496;0,966;1;0,304
"LMAN2L";463;-0,182;0,267;-0,68;0,497;0,966;1;0,304
"KLHL13";120;-0,248;0,365;-0,68;0,497;0,966;1;0,304
"AP000919.1";2,07;0,874;1,29;0,68;0,497;NA;1;0,304
"PGD";2550;-0,13;0,191;-0,68;0,497;0,966;1;0,304
"GTF2H2";358;0,242;0,355;0,68;0,497;0,966;1;0,304
"G6PD";700;-0,182;0,267;-0,68;0,497;0,966;1;0,304
"BRWD3";359;0,297;0,437;0,68;0,497;0,966;1;0,304
"PIF1";89,6;-0,3;0,441;-0,68;0,497;0,966;1;0,304
"NBEAL2";2050;-0,213;0,314;-0,68;0,497;0,966;1;0,304
"IGHV3-6";0,862;-1,17;1,72;-0,68;0,497;NA;1;0,304
"SCN4B";192;0,289;0,425;0,68;0,497;0,966;1;0,304
"FUCA2";2070;0,166;0,244;0,68;0,497;0,966;1;0,304
"AL451165.2";132;-0,297;0,437;-0,679;0,497;0,966;1;0,304
"LYRM2";761;0,197;0,291;0,679;0,497;0,966;1;0,304
"LIPE-AS1";97,7;-0,299;0,44;-0,679;0,497;0,966;1;0,304
"TEX45";3,52;0,648;0,954;0,679;0,497;0,966;1;0,304
"KCNK4";1,53;-1;1,47;-0,679;0,497;NA;1;0,304
"AC012313.8";49,5;-0,264;0,389;-0,679;0,497;0,966;1;0,304
"AL603910.1";1,02;-1,48;2,17;-0,679;0,497;NA;1;0,304
"ENTPD1-AS1";94,5;0,175;0,257;0,679;0,497;0,966;1;0,304
"AL391883.1";0,453;2,42;3,56;0,679;0,497;NA;1;0,304
"SLC2A11";493;-0,152;0,223;-0,679;0,497;0,966;1;0,304
"KRTAP5-2";7,78;0,78;1,15;0,679;0,497;0,966;1;0,304
"USP46-AS1";68,5;0,179;0,264;0,679;0,497;0,966;1;0,304
"YTHDF1";1320;0,159;0,234;0,679;0,497;0,966;1;0,304
"KRT73-AS1";0,45;-1,9;2,81;-0,679;0,497;NA;1;0,303
"AL732618.1";0,472;2,23;3,29;0,679;0,497;NA;1;0,303
"CDIPT";2250;-0,171;0,252;-0,679;0,497;0,966;1;0,303
"ZDHHC21";473;0,268;0,395;0,679;0,497;0,966;1;0,303
"LINC02315";0,498;2,2;3,24;0,679;0,497;NA;1;0,303
"AC106820.2";13,5;-0,441;0,65;-0,679;0,497;0,966;1;0,303
"AMFR";1970;-0,175;0,258;-0,678;0,497;0,966;1;0,303
"AC010642.2";225;-0,153;0,226;-0,678;0,497;0,966;1;0,303
"DNTT";0,405;2,28;3,35;0,678;0,498;NA;1;0,303
"GALE";4350;0,265;0,391;0,678;0,498;0,966;1;0,303
"AL136982.1";89,7;0,272;0,402;0,678;0,498;0,966;1;0,303
"CNTN3";84,9;0,418;0,617;0,678;0,498;0,966;1;0,303
"DNALI1";330;0,23;0,34;0,678;0,498;0,966;1;0,303
"SLC2A4RG";2100;-0,221;0,326;-0,678;0,498;0,966;1;0,303
"AL024509.1";0,996;1,54;2,27;0,678;0,498;NA;1;0,303
"FLAD1";714;-0,177;0,261;-0,678;0,498;0,966;1;0,303
"MBD3L2B";0,837;-1,88;2,77;-0,678;0,498;NA;1;0,303
"CHAC1";120;-0,387;0,57;-0,678;0,498;0,966;1;0,303
"LINC00479";8,36;0,605;0,893;0,678;0,498;0,966;1;0,303
"PRR32";1,37;-1,02;1,51;-0,678;0,498;NA;1;0,303
"PLD6";264;0,199;0,293;0,678;0,498;0,966;1;0,303
"ZNF682";101;-0,344;0,507;-0,678;0,498;0,966;1;0,303
"QRICH2";219;0,289;0,426;0,678;0,498;0,966;1;0,303
"AL162595.1";9,05;0,442;0,653;0,678;0,498;0,966;1;0,303
"AC091181.1";19,8;-0,325;0,48;-0,678;0,498;0,966;1;0,303
"PRPS2";758;0,118;0,174;0,678;0,498;0,966;1;0,303
"AC108673.3";8,84;-0,427;0,631;-0,677;0,498;0,966;1;0,303
"SFSWAP";1320;0,164;0,242;0,677;0,498;0,966;1;0,303
"AC092718.4";23,6;-0,284;0,42;-0,677;0,498;0,966;1;0,303
"UQCC3";1020;-0,271;0,4;-0,677;0,498;0,966;1;0,303
"LRRC29";82,5;-0,276;0,408;-0,677;0,498;0,966;1;0,303
"KANSL1-AS1";83;-0,334;0,493;-0,677;0,498;0,966;1;0,302
"CTAGE9";0,858;-1,37;2,03;-0,677;0,498;NA;1;0,302
"AC107214.1";4,86;-0,516;0,763;-0,677;0,498;0,966;1;0,302
"RUNDC3B";59,9;0,291;0,431;0,677;0,499;0,966;1;0,302
"AC012322.1";1,28;1,12;1,66;0,677;0,499;NA;1;0,302
"RPS6KB1";712;0,234;0,346;0,677;0,499;0,966;1;0,302
"AC009145.2";0,608;-2,06;3,04;-0,677;0,499;NA;1;0,302
"AC093627.4";121;-0,359;0,531;-0,677;0,499;0,966;1;0,302
"DEGS1";1630;0,179;0,264;0,677;0,499;0,966;1;0,302
"MIR202";0,448;2,41;3,56;0,677;0,499;NA;1;0,302
"E2F4";1280;-0,146;0,216;-0,676;0,499;0,966;1;0,302
"GEMIN8";385;0,165;0,244;0,676;0,499;0,966;1;0,302
"DCHS2";16,6;-0,4;0,591;-0,676;0,499;0,966;1;0,302
"HOXB5";3,42;-0,769;1,14;-0,676;0,499;0,966;1;0,302
"FABP3";126;-0,473;0,7;-0,676;0,499;0,966;1;0,302
"AL583722.1";3,89;-0,607;0,898;-0,676;0,499;0,966;1;0,302
"AC005042.1";1,23;-0,943;1,4;-0,676;0,499;NA;1;0,302
"CNOT1";3170;-0,213;0,315;-0,676;0,499;0,966;1;0,302
"RN7SL174P";0,43;-2,21;3,28;-0,676;0,499;NA;1;0,302
"NFIA-AS1";0,849;-1,23;1,81;-0,676;0,499;NA;1;0,302
"AC044810.3";0,641;1,83;2,71;0,676;0,499;NA;1;0,302
"AL109811.3";188;0,211;0,312;0,676;0,499;0,966;1;0,302
"SESN1";706;0,131;0,194;0,676;0,499;0,966;1;0,302
"MSH3";324;0,244;0,362;0,676;0,499;0,966;1;0,302
"DLGAP1-AS1";178;-0,285;0,421;-0,676;0,499;0,966;1;0,302
"TEX52";27,7;0,556;0,823;0,676;0,499;0,966;1;0,302
"PEX5L-AS2";0,61;-2,05;3,04;-0,676;0,499;NA;1;0,302
"LINC00574";9,13;0,409;0,606;0,676;0,499;0,966;1;0,302
"SNORA59B";7,28;0,518;0,766;0,676;0,499;0,966;1;0,302
"AC063977.6";2,58;-0,934;1,38;-0,676;0,499;NA;1;0,302
"AL033527.4";0,842;1,36;2,02;0,676;0,499;NA;1;0,302
"CSTF2T";787;0,125;0,185;0,676;0,499;0,966;1;0,302
"RNU6-638P";0,488;-2,39;3,54;-0,675;0,499;NA;1;0,302
"RPS12";35400;-0,309;0,458;-0,675;0,499;0,966;1;0,302
"AL359881.3";2,67;0,817;1,21;0,675;0,499;NA;1;0,301
"MRPL37";1360;-0,175;0,259;-0,675;0,499;0,966;1;0,301
"AJ011931.1";1,01;-1,36;2,01;-0,675;0,5;NA;1;0,301
"PWRN1";10;0,63;0,933;0,675;0,5;0,966;1;0,301
"AL355997.1";0,507;1,7;2,52;0,675;0,5;NA;1;0,301
"DNAH12";12,1;0,557;0,825;0,675;0,5;0,966;1;0,301
"AC010997.5";1,6;0,893;1,32;0,675;0,5;NA;1;0,301
"PTPRK";1390;0,161;0,238;0,675;0,5;0,966;1;0,301
"CXCR2";33,2;0,329;0,487;0,675;0,5;0,966;1;0,301
"SGCZ";1,37;1,33;1,97;0,675;0,5;NA;1;0,301
"IGKV3-7";184;-0,618;0,915;-0,675;0,5;0,966;1;0,301
"NPIPB3";1840;0,344;0,509;0,675;0,5;0,966;1;0,301
"RPL41";78800;-0,304;0,45;-0,675;0,5;0,966;1;0,301
"AC091167.7";6,13;0,752;1,12;0,675;0,5;0,966;1;0,301
"PDIA6";10900;0,209;0,309;0,675;0,5;0,966;1;0,301
"RBBP9";506;0,122;0,181;0,675;0,5;0,966;1;0,301
"CTRC";50,1;-0,404;0,599;-0,675;0,5;0,966;1;0,301
"NSMAF";801;0,184;0,272;0,675;0,5;0,966;1;0,301
"SPATA1";19,5;0,366;0,543;0,674;0,5;0,966;1;0,301
"ABCA12";0,668;-1,75;2,6;-0,674;0,5;NA;1;0,301
"AL353770.4";0,782;-1,37;2,03;-0,674;0,5;NA;1;0,301
"AC139530.2";0,442;2,4;3,56;0,674;0,5;NA;1;0,301
"PPP4R3A";1680;0,216;0,321;0,674;0,5;0,966;1;0,301
"SMC5-AS1";20,5;0,335;0,497;0,674;0,5;0,966;1;0,301
"SRCAP";1650;0,368;0,545;0,674;0,5;0,966;1;0,301
"TRADD";1480;-0,158;0,234;-0,674;0,5;0,966;1;0,301
"CDH3";391;-0,222;0,329;-0,674;0,5;0,966;1;0,301
"AC009563.1";0,704;-1,52;2,25;-0,674;0,5;NA;1;0,301
"RNU6-1267P";0,292;-2,39;3,54;-0,674;0,5;NA;1;0,301
"LINC01544";2,9;0,7;1,04;0,674;0,5;0,966;1;0,301
"NHSL1";311;0,222;0,33;0,674;0,5;0,966;1;0,301
"AC131254.1";1,36;0,985;1,46;0,674;0,5;NA;1;0,301
"PLCD1";567;-0,178;0,264;-0,674;0,5;0,966;1;0,301
"GNB2";5150;-0,197;0,292;-0,674;0,5;0,966;1;0,301
"LMCD1";2200;0,207;0,308;0,674;0,5;0,966;1;0,301
"FARP1";3320;0,225;0,334;0,674;0,5;0,966;1;0,301
"CFAP126";2,66;0,816;1,21;0,674;0,5;NA;1;0,301
"UNC45A";1490;-0,151;0,224;-0,674;0,5;0,966;1;0,301
"PSMC3IP";92;0,164;0,243;0,674;0,5;0,966;1;0,301
"CDRT15";3,19;0,839;1,25;0,674;0,5;0,966;1;0,301
"ZNF839";358;0,21;0,312;0,673;0,501;0,966;1;0,3
"ARHGEF6";583;-0,215;0,32;-0,673;0,501;0,966;1;0,3
"AL590385.2";0,291;-2,38;3,54;-0,673;0,501;NA;1;0,3
"TMCO5A";0,795;1,75;2,6;0,673;0,501;NA;1;0,3
"PRELID2";82,6;0,274;0,407;0,673;0,501;0,966;1;0,3
"WDR7-OT1";0,291;-2,38;3,54;-0,673;0,501;NA;1;0,3
"STAG3L5P-PVRIG2P-PILRB";852;0,234;0,347;0,673;0,501;0,966;1;0,3
"CDYL";530;0,136;0,202;0,673;0,501;0,966;1;0,3
"VPS11";1100;-0,14;0,208;-0,673;0,501;0,966;1;0,3
"AL137230.2";0,29;-2,38;3,54;-0,673;0,501;NA;1;0,3
"AC008269.1";0,409;2,28;3,38;0,673;0,501;NA;1;0,3
"RNU2-68P";0,593;-2,01;2,99;-0,673;0,501;NA;1;0,3
"SLC10A2";0,534;2,16;3,2;0,673;0,501;NA;1;0,3
"ZSWIM5";237;0,282;0,418;0,673;0,501;0,966;1;0,3
"AC018737.2";19,3;-0,434;0,645;-0,673;0,501;0,966;1;0,3
"SNORD118";1,67;-1,14;1,69;-0,673;0,501;NA;1;0,3
"NDUFB2-AS1";19,1;-0,314;0,466;-0,673;0,501;0,966;1;0,3
"GNB3";186;0,318;0,472;0,673;0,501;0,966;1;0,3
"DHRS13";539;-0,198;0,294;-0,673;0,501;0,966;1;0,3
"CFAP58";6,48;0,488;0,726;0,673;0,501;0,966;1;0,3
"LINC00971";3,96;0,691;1,03;0,673;0,501;0,966;1;0,3
"LINC00880";7,79;0,492;0,732;0,672;0,501;0,966;1;0,3
"AC099792.1";2,5;-0,709;1,05;-0,672;0,501;NA;1;0,3
"AC018521.7";31,6;-0,369;0,549;-0,672;0,501;0,966;1;0,3
"KLK15";4,99;-0,764;1,14;-0,672;0,501;0,966;1;0,3
"MTRF1";228;0,221;0,329;0,672;0,501;0,966;1;0,3
"PTCSC3";8,9;0,428;0,637;0,672;0,501;0,966;1;0,3
"AL157895.1";10,5;-0,458;0,681;-0,672;0,501;0,966;1;0,3
"CKAP2";276;-0,34;0,506;-0,672;0,501;0,966;1;0,3
"AC074008.1";1,01;-1,26;1,87;-0,672;0,502;NA;1;0,3
"CLMN";2070;0,195;0,291;0,672;0,502;0,966;1;0,3
"GPR179";5,56;0,703;1,05;0,672;0,502;0,966;1;0,299
"COL6A2";6520;-0,257;0,382;-0,672;0,502;0,966;1;0,299
"LINC00423";0,289;-2,38;3,54;-0,672;0,502;NA;1;0,299
"LINC00311";16,4;-0,513;0,764;-0,672;0,502;0,966;1;0,299
"NPTXR";431;0,333;0,495;0,672;0,502;0,966;1;0,299
"AC018645.2";25,1;0,3;0,447;0,672;0,502;0,966;1;0,299
"AC138028.2";19,9;-0,451;0,671;-0,672;0,502;0,966;1;0,299
"AC139887.2";91,6;0,297;0,443;0,672;0,502;0,966;1;0,299
"IFNE";1,34;1,1;1,64;0,672;0,502;NA;1;0,299
"AD001527.1";5,2;0,518;0,772;0,672;0,502;0,966;1;0,299
"RABEP1";1430;0,186;0,278;0,671;0,502;0,966;1;0,299
"AP001189.5";3,06;-0,782;1,17;-0,671;0,502;0,966;1;0,299
"ACTR1B";2090;-0,173;0,258;-0,671;0,502;0,966;1;0,299
"CITED2";1930;0,185;0,275;0,671;0,502;0,966;1;0,299
"DIRC3";10,7;0,348;0,519;0,671;0,502;0,966;1;0,299
"AL137009.1";19,1;-0,313;0,466;-0,671;0,502;0,966;1;0,299
"FAM166B";21,9;-0,291;0,433;-0,671;0,502;0,966;1;0,299
"MRPS34";2410;-0,224;0,334;-0,671;0,502;0,966;1;0,299
"ZDHHC11";156;0,349;0,52;0,671;0,502;0,966;1;0,299
"LIMD1";2220;0,221;0,33;0,671;0,502;0,966;1;0,299
"SLC35D1";458;0,21;0,313;0,671;0,502;0,966;1;0,299
"AC083841.1";0,491;1,92;2,86;0,671;0,502;NA;1;0,299
"AL022345.4";18;-0,311;0,464;-0,671;0,502;0,966;1;0,299
"CASP4";1470;-0,267;0,398;-0,671;0,502;0,966;1;0,299
"NDUFA8";1320;-0,231;0,345;-0,671;0,502;0,966;1;0,299
"RN7SL602P";67;-0,425;0,633;-0,671;0,502;0,966;1;0,299
"AC015799.1";34,4;-0,263;0,391;-0,671;0,502;0,966;1;0,299
"FKBP9";2190;0,267;0,398;0,671;0,502;0,966;1;0,299
"AC016683.1";2,03;-0,949;1,42;-0,671;0,502;NA;1;0,299
"LINC02331";0,942;1,34;2;0,671;0,502;NA;1;0,299
"AARD";150;-0,217;0,323;-0,671;0,503;0,966;1;0,299
"ADAM12";111;-0,288;0,43;-0,671;0,503;0,966;1;0,299
"TIGAR";173;-0,207;0,309;-0,67;0,503;0,966;1;0,299
"AC022079.1";0,843;1,19;1,77;0,67;0,503;NA;1;0,299
"IGHV3-52";8,19;0,696;1,04;0,67;0,503;0,966;1;0,299
"AC011005.4";4,07;-0,64;0,954;-0,67;0,503;0,966;1;0,299
"AC020917.4";68;0,24;0,357;0,67;0,503;0,966;1;0,299
"BTBD17";1,48;-1,34;1,99;-0,67;0,503;NA;1;0,299
"AC015540.1";0,3;-2,37;3,54;-0,67;0,503;NA;1;0,299
"FBXO42";653;-0,159;0,237;-0,67;0,503;0,966;1;0,299
"ETV6";2590;0,225;0,336;0,67;0,503;0,966;1;0,299
"ZER1";1450;0,241;0,36;0,67;0,503;0,966;1;0,299
"AC084757.3";2,75;-0,659;0,983;-0,67;0,503;0,966;1;0,299
"CLMP";426;-0,21;0,313;-0,67;0,503;0,966;1;0,299
"AL162311.3";83,8;0,196;0,292;0,67;0,503;0,966;1;0,299
"TSR1";1200;0,184;0,274;0,67;0,503;0,966;1;0,299
"SPINK6";98,3;-0,501;0,748;-0,67;0,503;0,966;1;0,299
"AC034229.6";0,289;-2,37;3,54;-0,67;0,503;NA;1;0,299
"GFAP";29,5;-0,433;0,647;-0,67;0,503;0,966;1;0,299
"CDH20";7,83;-0,609;0,909;-0,67;0,503;0,966;1;0,298
"COG3";1620;0,186;0,277;0,67;0,503;0,966;1;0,298
"AC025594.2";3,52;-0,712;1,06;-0,67;0,503;0,966;1;0,298
"LACTB";375;-0,2;0,298;-0,67;0,503;0,966;1;0,298
"TMEM43";1730;0,175;0,261;0,67;0,503;0,966;1;0,298
"PHOX2B";4,14;-0,942;1,41;-0,67;0,503;0,966;1;0,298
"SYNCRIP";2950;0,163;0,243;0,67;0,503;0,966;1;0,298
"RNF38";852;0,165;0,247;0,67;0,503;0,966;1;0,298
"AL137918.1";2,26;0,809;1,21;0,67;0,503;NA;1;0,298
"HDAC10";729;-0,19;0,284;-0,669;0,503;0,966;1;0,298
"FAM155B";70,5;0,282;0,421;0,669;0,503;0,966;1;0,298
"PWAR1";5,75;0,516;0,771;0,669;0,503;0,966;1;0,298
"UBE2D1";289;-0,217;0,325;-0,669;0,503;0,966;1;0,298
"KLRF1";38;0,346;0,517;0,669;0,504;0,966;1;0,298
"TMEM212";167;0,262;0,392;0,669;0,504;0,966;1;0,298
"KBTBD13";3,84;0,994;1,49;0,669;0,504;0,966;1;0,298
"HIBADH";1080;0,169;0,252;0,669;0,504;0,966;1;0,298
"AC234582.1";36,7;0,316;0,472;0,669;0,504;0,966;1;0,298
"U2SURP";1800;0,262;0,392;0,669;0,504;0,966;1;0,298
"CHAF1A";282;0,129;0,192;0,669;0,504;0,966;1;0,298
"OR8H2";0,626;-1,73;2,59;-0,669;0,504;NA;1;0,298
"AC010336.5";0,288;-2,37;3,54;-0,669;0,504;NA;1;0,298
"AC015961.2";8,01;0,455;0,681;0,669;0,504;0,966;1;0,298
"FAM131A";470;-0,228;0,34;-0,668;0,504;0,966;1;0,298
"AC090186.1";2,44;0,783;1,17;0,668;0,504;NA;1;0,298
"ELOA";1220;0,218;0,326;0,668;0,504;0,966;1;0,298
"AC226101.1";0,993;1,51;2,26;0,668;0,504;NA;1;0,298
"PER3";1850;0,289;0,432;0,668;0,504;0,966;1;0,298
"AC022154.1";8,37;-0,5;0,748;-0,668;0,504;0,966;1;0,298
"IGSF11";35,6;-0,406;0,607;-0,668;0,504;0,966;1;0,298
"ZNF518B";473;0,239;0,358;0,668;0,504;0,966;1;0,298
"AC027763.2";0,963;1,28;1,91;0,668;0,504;NA;1;0,298
"AC006064.5";1,63;-1,41;2,12;-0,668;0,504;NA;1;0,298
"PTPRD";71,2;-0,33;0,493;-0,668;0,504;0,966;1;0,298
"CR559946.1";1,75;0,951;1,42;0,668;0,504;NA;1;0,297
"AC009133.1";144;0,151;0,226;0,668;0,504;0,966;1;0,297
"AC027644.4";8,21;-0,713;1,07;-0,668;0,504;0,966;1;0,297
"MANBAL";1250;-0,194;0,291;-0,668;0,504;0,966;1;0,297
"RN7SL753P";1,14;1,15;1,73;0,668;0,504;NA;1;0,297
"TMEM185A";510;-0,15;0,225;-0,668;0,504;0,966;1;0,297
"TAF12";457;-0,203;0,304;-0,668;0,504;0,966;1;0,297
"FGD6";143;0,215;0,322;0,668;0,504;0,966;1;0,297
"LINC01771";0,806;-1,9;2,85;-0,668;0,504;NA;1;0,297
"OR6V1";0,688;-1,57;2,35;-0,667;0,504;NA;1;0,297
"AC104794.4";12,9;-1,5;2,25;-0,667;0,504;0,966;1;0,297
"AC008629.1";2,52;0,79;1,18;0,667;0,505;NA;1;0,297
"AC073862.3";0,287;-2,36;3,54;-0,667;0,505;NA;1;0,297
"AL139317.3";11,9;0,496;0,743;0,667;0,505;0,966;1;0,297
"AL357079.2";5,57;0,555;0,831;0,667;0,505;0,966;1;0,297
"AL627309.1";64,8;0,41;0,615;0,667;0,505;0,966;1;0,297
"PAK4";1760;0,232;0,347;0,667;0,505;0,966;1;0,297
"NOTO";1,62;1,1;1,65;0,667;0,505;NA;1;0,297
"SCAANT1";1,11;1,17;1,76;0,667;0,505;NA;1;0,297
"AL162377.1";115;0,179;0,268;0,667;0,505;0,966;1;0,297
"TRIM63";33,2;0,606;0,909;0,667;0,505;0,966;1;0,297
"MUC20";736;-0,296;0,444;-0,667;0,505;0,966;1;0,297
"PKN2";1050;0,28;0,419;0,667;0,505;0,966;1;0,297
"RN7SL492P";0,286;-2,36;3,54;-0,667;0,505;NA;1;0,297
"AP002754.1";9,15;0,484;0,727;0,667;0,505;0,966;1;0,297
"NOS3";131;0,283;0,424;0,667;0,505;0,966;1;0,297
"TRDV1";3,49;-0,662;0,993;-0,667;0,505;0,966;1;0,297
"STAC";50,7;-0,432;0,647;-0,667;0,505;0,966;1;0,297
"EP400";1210;0,202;0,303;0,667;0,505;0,966;1;0,297
"XYLT2";951;-0,171;0,256;-0,667;0,505;0,966;1;0,297
"LINC01483";3,87;0,824;1,24;0,667;0,505;0,966;1;0,297
"BCL2L11";526;-0,114;0,171;-0,667;0,505;0,966;1;0,297
"SLCO2A1";708;0,314;0,472;0,666;0,505;0,966;1;0,297
"CNTN4-AS2";0,286;-2,36;3,54;-0,666;0,505;NA;1;0,297
"AC013565.3";0,665;-1,52;2,29;-0,666;0,505;NA;1;0,297
"FSD2";39;0,389;0,584;0,666;0,505;0,966;1;0,296
"AC012349.1";20,8;-0,34;0,511;-0,666;0,505;0,966;1;0,296
"AC093525.4";16,2;0,354;0,532;0,666;0,505;0,966;1;0,296
"AC006148.1";3,28;-0,89;1,34;-0,666;0,505;0,966;1;0,296
